Report generated on: 03-23-2023 11:38:06
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.4702-33-CPV-THP.A","        Cabo Verde","317.234","321.634","326.319","330.971","335.473","339.874","344.271","348.718","353.233","358.15","364.563","372.721","381.947","391.749","401.655","411.382","421.007","430.654","440.214","449.627","458.251","465.958","473.231","480.089","486.583","492.827","498.884","504.733","510.336","515.638","521.212","527.521","533.864","539.94","546.076","552.166","558.394","564.954","571.202","577.03","582.64","587.925","593.149"
"INTL.4702-33-KHM-THP.A","        Cambodia","6198.959","6364.472","6619.699","6881.962","7133.899","7376.09","7661.317","7975.597","8269.78","8570.928","8910.808","9259.362","9718.215","10243.55","10636.35","10919.53","11182.61","11431.57","11669.08","11899.01","12118.84","12338.19","12561.78","12787.71","13016.37","13246.58","13477.78","13714.79","13943.89","14155.74","14363.53","14573.88","14786.64","14999.68","15210.82","15417.52","15624.58","15830.69","16025.24","16207.75","16396.86","16589.02","16767.84"
"INTL.4702-33-CMR-THP.A","        Cameroon","8519.891","8829.048","9046.986","9240.672","9508.57","9804.254","10112.71","10433.91","10759.57","11089.22","11430.52","11777.72","12128.6","12486.77","12848.86","13211.65","13575.32","13941.18","14314.6","14698.97","15091.59","15493.25","15914.03","16354.33","16809.41","17275.17","17751.33","18251.87","18777.08","19319.27","19878.04","20448.87","21032.68","21632.85","22299.59","23012.65","23711.63","24393.18","25076.75","25782.34","26491.09","27198.63","27914.54"
"INTL.4702-33-CAN-THP.A","        Canada","24515.67","24819.91","25116.94","25366.45","25607.05","25842.12","26100.28","26446.6","26791.75","27276.78","27691.13","28037.42","28371.26","28684.77","29000.66","29302.31","29610.22","29905.95","30155.17","30401.29","30685.73","31020.9","31360.08","31644.03","31940.66","32243.75","32571.18","32889.02","33247.12","33628.89","34004.89","34339.33","34714.22","35082.95","35437.43","35702.91","36109.48","36545.24","37065.09","37601.23","38007.16","38226.5","38929.9"
"INTL.4702-33-CYM-THP.A","        Cayman Islands","17.1","17.904","18.729","19.572","20.433","21.313","22.195","23.075","23.956","24.888","26.027","27.34","28.677","30.038","31.418","32.802","34.194","35.579","36.947","38.295","39.658","41.054","42.456","43.862","45.286","46.727","48.177","49.647","51.123","52.602","54.074","55.492","56.86","58.212","59.559","60.911","62.255","63.581","64.884","66.134","67.311","68.136","68.706"
"INTL.4702-33-CAF-THP.A","        Central African Republic","2415.276","2441.01","2467.635","2495.097","2523.538","2553.075","2583.631","2615.594","2657.235","2724.109","2809.221","2898.052","2991.727","3089.146","3187.844","3276.706","3363.57","3458.472","3555.064","3655.36","3759.17","3844.773","3930.648","4026.841","4115.138","4208.834","4294.352","4375.569","4467.233","4564.54","4660.067","4732.022","4773.306","4802.428","4798.734","4819.333","4904.177","4996.741","5094.78","5209.324","5343.02","5457.154","5579.144"
"INTL.4702-33-TCD-THP.A","        Chad","4408.23","4409.225","4622.828","4859.173","4920.556","4967.59","5118.16","5300.852","5483.038","5670.619","5827.069","6042.428","6302.926","6448.28","6592.998","6888.856","7200.291","7450.874","7709.115","7981.889","8259.137","8538.804","8838.369","9196.366","9613.503","10005.01","10365.61","10722.73","11098.66","11496.13","11894.73","12317.73","12754.91","13216.77","13697.13","14140.27","14592.58","15085.88","15604.21","16126.87","16644.7","17179.74","17723.31"
"INTL.4702-33-CHL-THP.A","        Chile","11362.01","11524.56","11685.38","11848.46","12017.89","12197.36","12387.71","12586.39","12791.21","12999.88","13211.23","13428.64","13652.53","13874.38","14092.92","14306.57","14514.56","14716.78","14913.14","15104.15","15289.99","15469.9","15645.35","15815.41","15980.65","16144.86","16306.98","16472.79","16645.28","16825.97","17009.18","17193.88","17383.88","17567.98","17738.22","17915.96","18102.74","18312.55","18584.63","18922.75","19277.38","19595.71","19798.3"
"INTL.4702-33-CHN-THP.A","        China","984203.1","998881.7","1013932","1029457","1045569","1062497","1080841","1100382","1120062","1138785","1155603","1170482","1184053","1196581","1208327","1219470","1229800","1239223","1248050","1256613","1265165","1273566","1281666","1289641","1297683","1305949","1314425","1323008","1331687","1340450","1349340","1358583","1368126","1377579","1386528","1394682","1402323","1409610","1416138","1421481","1425213","1427055","1427321"
"INTL.4702-33-COL-THP.A","        Colombia","26176.2","26785.98","27405.19","28042.33","28689.03","29326.26","29960.1","30603.05","31256.73","31923.12","32601.39","33272.63","33939.04","34614.73","35295.46","35970.1","36632.57","37291.95","37944.41","38585.03","39215.14","39837.88","40454.05","41057.69","41648.27","42220.94","42772.91","43306.58","43815.31","44313.92","44816.11","45308.9","45782.42","46237.93","46677.95","47119.73","47625.95","48351.67","49276.96","50187.41","50930.66","51516.56","51874.02"
