"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2022","83.87","84.03","84.38","83.12","28.07M","1.16%"
"05/16/2022","82.91","81.07","83.76","81.02","27.98M","2.64%"
"05/13/2022","80.78","79.27","81.10","79.13","29.56M","3.42%"
"05/12/2022","78.11","77.75","78.15","75.68","44.93M","0.42%"
"05/11/2022","77.78","78.03","80.33","77.65","49.76M","1.34%"
"05/10/2022","76.75","77.23","78.69","75.13","56.35M","0.91%"
"05/09/2022","76.06","81.14","81.21","75.75","53.02M","-8.27%"
"05/06/2022","82.92","81.56","82.93","79.93","47.12M","2.98%"
"05/05/2022","80.52","82.33","82.41","78.88","46.60M","-1.50%"
"05/04/2022","81.75","80.00","81.92","78.98","45.38M","4.15%"
"05/03/2022","78.49","76.49","78.85","76.44","41.49M","2.80%"
"05/02/2022","76.35","74.69","76.38","74.46","51.48M","1.60%"
"04/29/2022","75.15","77.26","77.71","74.89","39.71M","-2.57%"
"04/28/2022","77.13","75.35","77.75","73.89","43.05M","3.03%"
"04/27/2022","74.86","74.25","75.59","72.92","44.56M","1.46%"
"04/26/2022","73.78","74.23","75.80","73.59","44.58M","0.14%"
"04/25/2022","73.68","73.80","74.07","71.00","55.20M","-3.31%"
"04/22/2022","76.20","77.80","78.92","76.17","35.75M","-2.45%"
"04/21/2022","78.11","81.15","81.51","77.81","32.54M","-3.17%"
"04/20/2022","80.67","80.57","81.10","79.79","25.57M","0.39%"
"04/19/2022","80.36","80.60","81.39","79.89","22.85M","-0.81%"
"04/18/2022","81.02","80.51","81.50","80.01","30.38M","1.47%"
"04/14/2022","79.85","79.21","80.48","79.09","25.93M","0.33%"
"04/13/2022","79.59","79.38","79.81","78.07","23.73M","1.49%"
"04/12/2022","78.42","78.70","79.85","78.26","31.94M","1.66%"
"04/11/2022","77.14","78.68","78.70","76.96","26.09M","-3.01%"
"04/08/2022","79.53","77.61","79.75","77.61","26.71M","2.75%"
"04/07/2022","77.40","76.76","77.66","75.34","27.01M","1.31%"
"04/06/2022","76.40","76.78","77.47","75.97","32.16M","0.59%"
"04/05/2022","75.95","77.30","78.49","75.86","27.21M","-1.57%"
"04/04/2022","77.16","77.56","77.81","76.34","22.95M","0.13%"
"04/01/2022","77.06","76.34","77.78","76.29","24.81M","0.81%"
"03/31/2022","76.44","76.76","78.21","76.43","32.58M","-1.36%"
"03/30/2022","77.49","77.34","78.04","76.86","24.84M","1.16%"
"03/29/2022","76.60","75.08","76.64","74.19","33.61M","-0.26%"
"03/28/2022","76.80","77.13","77.16","76.31","34.65M","-2.48%"
"03/25/2022","78.75","76.60","78.85","76.54","28.05M","2.19%"
"03/24/2022","77.06","77.16","77.82","76.54","26.29M","0.25%"
"03/23/2022","76.87","76.99","77.58","76.62","29.33M","1.72%"
"03/22/2022","75.57","75.81","76.23","74.71","30.86M","-0.74%"
"03/21/2022","76.13","74.66","76.37","74.62","34.36M","3.05%"
"03/18/2022","73.88","73.82","74.38","73.32","29.28M","-0.09%"
"03/17/2022","73.95","72.76","74.14","72.31","38.18M","3.44%"
"03/16/2022","71.49","72.09","72.72","70.74","53.77M","-0.46%"
"03/15/2022","71.82","71.66","72.65","70.44","62.26M","-3.66%"
"03/14/2022","74.55","75.21","75.74","73.55","50.75M","-2.99%"
"03/11/2022","76.85","76.23","77.81","76.11","45.92M","-0.80%"
"03/10/2022","77.47","76.06","77.67","75.52","68.79M","3.06%"
"03/09/2022","75.17","74.70","76.94","73.50","86.78M","-3.06%"
"03/08/2022","77.54","78.08","80.22","75.33","97.69M","1.57%"
"03/07/2022","76.34","76.01","77.56","74.64","65.44M","1.48%"
"03/04/2022","75.23","73.11","75.27","72.92","52.63M","2.89%"
"03/03/2022","73.12","72.21","73.62","72.06","44.43M","0.27%"
"03/02/2022","72.92","72.38","73.50","72.03","45.38M","2.29%"
"03/01/2022","71.29","71.21","72.49","70.29","61.57M","1.01%"
"02/28/2022","70.58","68.39","70.66","68.01","46.84M","2.47%"
"02/25/2022","68.88","67.26","68.95","67.26","39.21M","2.64%"
"02/24/2022","67.11","69.08","69.16","65.36","61.65M","-0.78%"
"02/23/2022","67.64","67.34","68.16","66.95","33.49M","1.03%"
"02/22/2022","66.95","70.11","70.11","65.94","45.76M","-1.62%"
"02/18/2022","68.05","67.50","68.59","67.39","31.65M","-0.61%"
"02/17/2022","68.47","68.52","69.18","67.94","33.80M","-0.16%"
"02/16/2022","68.58","68.57","69.77","68.16","36.47M","0.81%"
"02/15/2022","68.03","67.06","68.19","66.68","42.93M","-1.05%"
"02/14/2022","68.75","69.98","70.06","67.93","49.76M","-2.36%"
"02/11/2022","70.41","68.88","70.50","68.45","46.52M","2.91%"
"02/10/2022","68.42","68.51","69.74","67.97","37.29M","-0.62%"
"02/09/2022","68.85","68.44","69.38","68.27","35.24M","0.83%"
"02/08/2022","68.28","69.57","69.71","67.80","37.88M","-2.15%"
"02/07/2022","69.78","68.57","70.43","68.05","32.47M","1.28%"
"02/04/2022","68.90","68.70","70.00","68.54","40.87M","1.56%"
"02/03/2022","67.84","68.21","68.35","67.10","30.85M","-0.95%"
"02/02/2022","68.49","67.92","68.62","67.08","32.51M","0.32%"
"02/01/2022","68.27","65.53","68.43","65.38","43.94M","3.56%"
"01/31/2022","65.92","65.48","66.34","64.44","31.47M","0.44%"
"01/28/2022","65.63","65.47","66.27","64.26","52.65M","-0.42%"
"01/27/2022","65.91","66.35","67.06","64.82","54.28M","1.09%"
"01/26/2022","65.20","66.00","66.53","64.49","65.29M","-0.17%"
"01/25/2022","65.31","62.63","65.55","61.47","59.07M","3.88%"
"01/24/2022","62.87","60.97","63.09","59.84","62.13M","0.67%"
"01/21/2022","62.45","62.99","63.39","61.78","57.27M","-1.98%"
"01/20/2022","63.71","63.88","65.42","63.58","41.87M","-0.92%"
"01/19/2022","64.30","65.27","65.34","63.79","32.65M","-0.73%"
"01/18/2022","64.77","65.20","65.53","63.78","40.85M","0.40%"
"01/14/2022","64.51","63.09","64.61","63.05","32.40M","2.35%"
"01/13/2022","63.03","63.35","63.86","62.77","28.20M","-0.51%"
"01/12/2022","63.35","63.57","63.74","62.89","29.62M","0.19%"
"01/11/2022","63.23","61.68","63.34","61.16","38.34M","3.40%"
"01/10/2022","61.15","61.48","61.60","60.35","31.86M","-0.31%"
"01/07/2022","61.34","60.74","61.50","60.32","35.58M","1.37%"
"01/06/2022","60.51","60.58","60.85","59.66","36.56M","2.23%"
"01/05/2022","59.19","59.78","60.44","59.10","44.41M","-0.02%"
"01/04/2022","59.20","58.00","59.43","57.81","39.23M","3.46%"
"01/03/2022","57.22","55.58","57.31","55.55","32.40M","3.10%"
