"Date","Price","Open","High","Low","Vol.","Change %"
"09/09/2022","207.091","219.000","219.000","199.085","30.41K","-6.10%"
"09/08/2022","220.541","200.000","225.500","192.925","39.43K","3.11%"
"09/07/2022","213.883","240.000","247.000","204.495","40.91K","-10.82%"
"09/06/2022","239.842","235.325","242.500","214.000","32.17K","-2.47%"
"09/05/2022","245.926","264.465","290.000","240.000","38.92K","14.56%"
"09/02/2022","214.665","238.000","240.000","203.000","50.37K","-11.66%"
"09/01/2022","243.004","243.000","252.000","222.575","39.13K","1.29%"
"08/31/2022","239.907","269.000","284.000","230.000","44.38K","-5.15%"
"08/30/2022","252.937","277.025","284.000","242.000","18.84K","-7.21%"
"08/29/2022","272.603","320.000","320.000","268.050","15.07K","-19.63%"
"08/26/2022","339.196","321.000","342.005","283.000","42.77K","5.53%"
"08/25/2022","321.414","297.000","324.000","297.000","39.44K","10.02%"
"08/24/2022","292.150","266.000","302.995","261.000","45.18K","8.59%"
"08/23/2022","269.049","290.975","291.000","258.910","37.81K","-2.78%"
"08/22/2022","276.748","263.995","295.000","261.500","36.73K","13.17%"
"08/19/2022","244.550","237.030","262.780","234.000","38.46K","1.47%"
"08/18/2022","241.004","225.495","242.815","224.000","35.96K","6.72%"
"08/17/2022","225.835","223.000","237.380","220.000","34.82K","-0.03%"
"08/16/2022","225.914","230.000","251.730","220.250","37.32K","2.64%"
"08/15/2022","220.110","207.000","230.000","205.820","26.34K","6.79%"
"08/12/2022","206.108","207.650","211.525","202.250","36.61K","-0.96%"
"08/11/2022","208.110","208.000","216.660","205.645","33.76K","1.34%"
"08/10/2022","205.367","194.500","207.280","193.500","33.38K","6.86%"
"08/09/2022","192.184","189.005","196.675","187.500","27.73K","-0.45%"
"08/08/2022","193.055","195.200","200.500","191.000","24.68K","-1.66%"
"08/05/2022","196.320","198.005","206.000","193.800","32.13K","-1.47%"
"08/04/2022","199.248","195.000","202.765","190.000","33.56K","0.03%"
"08/03/2022","199.195","203.000","207.740","197.400","26.22K","-2.91%"
"08/02/2022","205.174","199.985","210.800","199.985","28.09K","2.18%"
"08/01/2022","200.794","192.000","203.255","188.000","23.45K","5.17%"
"07/29/2022","190.915","199.850","202.960","188.900","25.58K","-4.03%"
"07/28/2022","198.930","194.300","207.000","194.300","31.32K","-3.07%"
"07/27/2022","205.225","208.000","228.000","191.215","46.82K","2.65%"
"07/26/2022","199.918","179.000","214.550","177.500","40.06K","13.19%"
"07/25/2022","176.616","159.005","179.000","159.005","28.92K","10.48%"
"07/22/2022","159.864","160.000","166.750","159.250","31.80K","2.74%"
"07/21/2022","155.600","145.000","158.625","145.000","37.90K","0.36%"
"07/20/2022","155.038","153.000","164.310","150.785","44.23K","0.38%"
"07/19/2022","154.457","161.000","164.950","152.155","42.20K","-1.78%"
"07/18/2022","157.258","164.760","168.500","154.505","29.26K","-1.45%"
"07/15/2022","159.567","173.030","174.750","156.955","34.61K","-8.84%"
"07/14/2022","175.033","177.700","181.990","173.345","27.11K","-3.03%"
"07/13/2022","180.505","178.000","185.000","174.000","27.90K","4.57%"
"07/12/2022","172.609","169.000","177.445","168.000","29.03K","4.92%"
"07/11/2022","164.520","159.000","174.775","153.500","32.65K","-6.10%"
"07/08/2022","175.212","180.000","185.750","164.150","44.49K","-4.35%"
"07/07/2022","183.183","176.885","187.265","172.000","46.61K","7.13%"
"07/06/2022","170.999","155.000","175.500","152.000","30.92K","3.59%"
"07/05/2022","165.073","167.500","176.010","161.050","36.64K","1.31%"
"07/04/2022","162.940","151.250","167.750","146.490","33.55K","10.26%"
"07/01/2022","147.784","147.000","153.250","143.500","28.40K","2.26%"
"06/30/2022","144.514","144.695","149.400","142.265","26.62K","3.53%"
"06/29/2022","139.588","130.500","142.500","130.500","21.55K","8.06%"
"06/28/2022","129.176","129.495","132.060","125.000","42.05K","-0.22%"
"06/27/2022","129.459","132.500","137.305","128.285","36.52K","0.74%"
"06/24/2022","128.505","134.000","136.800","127.785","36.60K","-3.63%"
"06/23/2022","133.347","126.000","138.380","125.500","41.85K","4.86%"
"06/22/2022","127.171","124.600","132.590","123.000","40.05K","1.28%"
"06/21/2022","125.560","122.000","128.700","122.000","36.98K","4.09%"
"06/20/2022","120.627","122.995","128.250","119.000","40.46K","2.45%"
"06/17/2022","117.738","116.000","134.745","111.000","47.78K","-5.33%"
"06/16/2022","124.364","124.850","148.995","117.010","71.46K","3.35%"
"06/15/2022","120.332","98.500","121.735","98.005","64.45K","24.00%"
"06/14/2022","97.040","83.750","101.005","83.750","67.25K","16.35%"
"06/13/2022","83.402","83.495","85.495","80.000","33.83K","1.14%"
"06/10/2022","82.464","85.100","85.750","81.625","36.24K","-2.85%"
"06/09/2022","84.880","86.195","92.050","83.900","52.51K","6.89%"
"06/08/2022","79.407","80.750","81.005","77.305","37.96K","-0.25%"
"06/07/2022","79.608","79.050","82.300","78.800","37.72K","-3.57%"
"06/06/2022","82.558","84.855","85.500","80.640","27.40K","-0.65%"
"06/03/2022","83.101","83.805","85.725","82.700","9.94K","-1.01%"
"06/02/2022","83.945","85.000","86.400","81.900","8.55K","-1.88%"
"06/01/2022","85.551","91.750","91.750","81.600","45.92K","-8.99%"
"05/31/2022","94.004","94.000","95.750","89.870","34.25K","6.84%"
"05/30/2022","87.987","86.325","88.820","85.750","21.29K","1.28%"
"05/27/2022","86.875","83.500","88.560","82.275","32.80K","1.05%"
"05/26/2022","85.971","88.000","88.000","84.250","27.15K","-2.39%"
"05/25/2022","88.078","84.870","89.495","83.500","32.16K","4.23%"
"05/24/2022","84.507","84.000","87.250","83.000","37.10K","1.46%"
"05/23/2022","83.288","85.050","86.495","82.950","34.27K","-5.25%"
"05/20/2022","87.902","90.000","91.310","86.835","40.28K","-3.43%"
"05/19/2022","91.024","94.000","95.210","88.900","36.59K","-3.72%"
"05/18/2022","94.538","92.750","97.850","92.000","31.57K","0.39%"
"05/17/2022","94.175","90.255","97.935","87.600","46.31K","1.42%"
"05/16/2022","92.860","96.880","97.600","91.600","36.36K","-4.15%"
"05/13/2022","96.881","106.000","106.695","95.500","41.87K","-9.20%"
"05/12/2022","106.701","95.010","115.005","95.010","50.08K","13.50%"
"05/11/2022","94.012","102.995","105.490","91.585","36.99K","-4.85%"
"05/10/2022","98.801","92.000","101.350","88.905","42.99K","5.35%"
"05/09/2022","93.787","99.000","101.980","92.660","33.49K","-7.79%"
"05/06/2022","101.708","109.000","109.250","98.170","42.42K","-4.51%"
"05/05/2022","106.508","107.125","111.505","103.605","32.80K","2.59%"
"05/04/2022","103.821","97.505","107.195","97.500","37.10K","4.42%"
"05/03/2022","99.426","96.000","103.700","94.000","33.34K","2.45%"
"05/02/2022","97.051","95.900","99.145","93.000","11.99K","-2.41%"
"04/29/2022","99.450","97.000","108.505","96.000","42.79K","-0.69%"
"04/28/2022","100.142","108.500","110.000","97.005","19.30K","-6.78%"
"04/27/2022","107.427","127.500","127.500","105.290","47.06K","4.09%"
"04/26/2022","103.208","93.775","108.445","89.525","54.33K","11.17%"
"04/25/2022","92.837","96.000","100.245","92.000","43.26K","-2.15%"
"04/22/2022","94.875","103.100","105.250","93.500","48.95K","-5.18%"
"04/21/2022","100.061","92.000","103.105","92.000","43.97K","6.19%"
"04/20/2022","94.231","95.490","100.030","92.145","36.92K","0.49%"
"04/19/2022","93.768","85.500","95.760","84.000","37.34K","-1.94%"
"04/14/2022","95.620","103.625","103.750","87.190","51.36K","-9.21%"
"04/13/2022","105.324","102.500","106.570","101.880","31.22K","3.04%"
"04/12/2022","102.219","103.000","104.050","101.370","30.10K","2.08%"
"04/11/2022","100.137","102.545","104.500","99.060","28.64K","-3.61%"
"04/08/2022","103.882","104.005","109.440","101.525","32.47K","-0.65%"
"04/07/2022","104.564","105.505","107.245","103.405","38.14K","-2.09%"
"04/06/2022","106.791","104.000","112.000","103.000","40.90K","-1.63%"
"04/05/2022","108.564","111.000","112.000","104.740","44.85K","-0.88%"
"04/04/2022","109.523","117.985","120.000","106.395","28.81K","-2.34%"
"04/01/2022","112.150","126.500","133.000","109.700","34.10K","-10.93%"
"03/31/2022","125.906","110.000","127.855","108.000","39.86K","5.83%"
"03/30/2022","118.970","110.000","124.500","108.305","32.52K","9.77%"
"03/29/2022","108.381","108.630","114.800","105.000","51.73K","5.69%"
"03/28/2022","102.545","97.995","109.250","93.000","60.70K","1.26%"
"03/25/2022","101.269","109.000","114.680","97.630","61.31K","-9.26%"
"03/24/2022","111.608","109.370","128.475","105.000","52.66K","-4.61%"
"03/23/2022","117.001","97.000","132.740","96.895","54.43K","18.49%"
"03/22/2022","98.747","97.000","102.055","94.900","46.72K","2.54%"
"03/21/2022","96.302","105.000","105.000","94.825","53.20K","-8.32%"
"03/18/2022","105.044","107.000","109.815","99.450","49.24K","-0.04%"
"03/17/2022","105.088","105.000","113.650","103.380","54.23K","2.40%"
"03/16/2022","102.623","114.900","121.500","101.110","57.40K","-11.10%"
"03/15/2022","115.439","105.050","124.855","105.000","42.94K","0.80%"
"03/14/2022","114.522","124.000","124.000","109.755","41.28K","-12.73%"
"03/11/2022","131.229","122.000","141.500","113.000","58.64K","3.82%"
"03/10/2022","126.399","145.000","159.995","120.000","52.31K","-18.91%"
"03/09/2022","155.880","205.000","205.000","146.250","54.76K","-27.35%"
"03/08/2022","214.554","255.900","300.000","184.000","51.86K","-5.57%"
"03/07/2022","227.201","210.000","345.000","206.075","51.24K","18.00%"
"03/04/2022","192.550","159.000","213.895","146.000","83.94K","19.73%"
"03/03/2022","160.823","179.250","199.990","135.060","72.93K","-2.85%"
"03/02/2022","165.543","135.000","194.715","128.000","74.96K","36.05%"
"03/01/2022","121.674","98.795","128.500","96.000","67.42K","23.41%"
"02/28/2022","98.595","115.000","128.000","94.505","66.78K","4.42%"
"02/25/2022","94.422","112.000","115.000","89.360","38.49K","-29.70%"
